id,time,text,city_name,coordinates,place
1419491705053749249,2021-07-26 02:56:10+00:00,b'Can\xe2\x80\x99t wait for track and field #Olympics #',"Houston, TX","[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='1c69a67ad480e1b1', url='https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json', place_type='city', name='Houston', full_name='Houston, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]), attributes={})"
1418242634624077827,2021-07-22 16:12:48+00:00,"b'Lol Messi played, neymar played, Ag\xc3\xbcero, Di Maria, Mane. \nJust cause the USMNT doesn\xe2\x80\x99t qualify doesn\xe2\x80\x99t mean good pl\xe2\x80\xa6 https://t.co/5kxM0oL12s'","Los Alamitos, CA","[[[-118.092825, 33.781057], [-118.032515, 33.781057], [-118.032515, 33.8196208], [-118.092825, 33.8196208]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='0799ff0a3c1006e9', url='https://api.twitter.com/1.1/geo/id/0799ff0a3c1006e9.json', place_type='city', name='Los Alamitos', full_name='Los Alamitos, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-118.092825, 33.781057], [-118.032515, 33.781057], [-118.032515, 33.8196208], [-118.092825, 33.8196208]]]), attributes={})"
1420198626782072836,2021-07-28 01:45:13+00:00,"b'Come on, Katie Ledecky! #Swimming #Olympics'","Tonawanda, NY","[[[-78.941453, 42.955994], [-78.822147, 42.955994], [-78.822147, 43.0313345], [-78.941453, 43.0313345]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='7eba31f60a59aa24', url='https://api.twitter.com/1.1/geo/id/7eba31f60a59aa24.json', place_type='city', name='Tonawanda', full_name='Tonawanda, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-78.941453, 42.955994], [-78.822147, 42.955994], [-78.822147, 43.0313345], [-78.941453, 43.0313345]]]), attributes={})"
1421834843042758660,2021-08-01 14:06:57+00:00,"b""His buddy didn't say it because an american was in the lead. His buddy was kind of hoping for an unknown to win. Hi\xe2\x80\xa6 https://t.co/icH3hvG4R3""","Florida, USA","[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='4ec01c9dbc693497', url='https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json', place_type='admin', name='Florida', full_name='Florida, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]), attributes={})"
1418242542160818182,2021-07-22 16:12:26+00:00,b'An immersive experience where spectators dress as backpackers and are hunted by the lunatic from Wolf Creek https://t.co/wF5RrYMJMP',"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})"
1420198753680732161,2021-07-28 01:45:43+00:00,"b'Montgomery County loves you, @katieledecky! #Swimming #Tokyo2020 #usa @TeamUSA @USASwimming @NBCOlympics'","Wheaton, MD","[[[-77.109128, 39.024229], [-77.023211, 39.024229], [-77.023211, 39.093731], [-77.109128, 39.093731]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='0183569b04a64d1f', url='https://api.twitter.com/1.1/geo/id/0183569b04a64d1f.json', place_type='city', name='Wheaton', full_name='Wheaton, MD', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-77.109128, 39.024229], [-77.023211, 39.024229], [-77.023211, 39.093731], [-77.109128, 39.093731]]]), attributes={})"
1418577211494436866,2021-07-23 14:22:17+00:00,b'Team Patterson got up early this morning to cheer for #TeamUSA in the #Olympics #OpeningCeremony. https://t.co/nyg4mDVadW',"Brentwood, TN","[[[-86.869446, 35.939893], [-86.686525, 35.939893], [-86.686525, 36.05065], [-86.869446, 36.05065]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='42835dec78de1327', url='https://api.twitter.com/1.1/geo/id/42835dec78de1327.json', place_type='city', name='Brentwood', full_name='Brentwood, TN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-86.869446, 35.939893], [-86.686525, 35.939893], [-86.686525, 36.05065], [-86.869446, 36.05065]]]), attributes={})"
1418756741102190594,2021-07-24 02:15:40+00:00,"b'Judging by all the athletes wearing their masks with their nose poking out at the opening ceremony, this Olympics w\xe2\x80\xa6 https://t.co/vXtE0YayTK'","Richmond, VA","[[[-77.601044, 37.447046], [-77.385297, 37.447046], [-77.385297, 37.61272], [-77.601044, 37.61272]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='00f751614d8ce37b', url='https://api.twitter.com/1.1/geo/id/00f751614d8ce37b.json', place_type='city', name='Richmond', full_name='Richmond, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-77.601044, 37.447046], [-77.385297, 37.447046], [-77.385297, 37.61272], [-77.601044, 37.61272]]]), attributes={})"
1422056968634634240,2021-08-02 04:49:36+00:00,b'I really wish BG was a better rebounder. #Tokyo2020 #TokyoOlympics',"Little Rock, AR","[[[-92.5215951, 34.6259499], [-92.1630491, 34.6259499], [-92.1630491, 34.8178224], [-92.5215951, 34.8178224]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='45a45eb8e30e7b14', url='https://api.twitter.com/1.1/geo/id/45a45eb8e30e7b14.json', place_type='city', name='Little Rock', full_name='Little Rock, AR', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-92.5215951, 34.6259499], [-92.1630491, 34.6259499], [-92.1630491, 34.8178224], [-92.5215951, 34.8178224]]]), attributes={})"
1418756786463547393,2021-07-24 02:15:51+00:00,b'The Olympics are cool but have you ever watched old billionaires go to space?',"Los Angeles, CA","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})"
