,id,time,text,city_name,coordinates,place
40397,1422346536751611909,2021-08-03 00:00:14+00:00,How much extra sushi 🍣 have you ate since the Olympics are in Japan?,"Boone, NC","[[[-81.7384001, 36.183417], [-81.57739, 36.183417], [-81.57739, 36.246767], [-81.7384001, 36.246767]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='ecdf2813e684c066', url='https://api.twitter.com/1.1/geo/id/ecdf2813e684c066.json', place_type='city', name='Boone', full_name='Boone, NC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.7384001, 36.183417], [-81.57739, 36.183417], [-81.57739, 36.246767], [-81.7384001, 36.246767]]]), attributes={})"
37439,1422346582519947272,2021-08-03 00:00:25+00:00,@MagdaEricsson @svenskfotboll @Olympics @FridolinaRolfo @hannaglas Congrats girls ! You deserved it !!,"Pensacola, FL","[[[-87.259577, 30.399257], [-87.149742, 30.399257], [-87.149742, 30.510326], [-87.259577, 30.510326]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='736e38a7d8ebe159', url='https://api.twitter.com/1.1/geo/id/736e38a7d8ebe159.json', place_type='city', name='Pensacola', full_name='Pensacola, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-87.259577, 30.399257], [-87.149742, 30.399257], [-87.149742, 30.510326], [-87.259577, 30.510326]]]), attributes={})"
37434,1422346766247108625,2021-08-03 00:01:09+00:00,"Hmong Meaning, History and Origins Explained As Sunisa Lee Wins Gold at Tokyo 2020 https://t.co/3moFRkDUy0 #Olympics #OlympicGames","Palm Springs, CA","[[[-116.5677878, 33.7794258], [-116.466791, 33.7794258], [-116.466791, 33.8707332], [-116.5677878, 33.8707332]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4265ece9285a2872', url='https://api.twitter.com/1.1/geo/id/4265ece9285a2872.json', place_type='city', name='Palm Springs', full_name='Palm Springs, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-116.5677878, 33.7794258], [-116.466791, 33.7794258], [-116.466791, 33.8707332], [-116.5677878, 33.8707332]]]), attributes={})"
42759,1422346799415758849,2021-08-03 00:01:17+00:00,@CarliLloyd doing sprints in the background. All time great. https://t.co/0Avsr3RDFr,"McKinney, TX","[[[-96.803319, 33.137357], [-96.595889, 33.137357], [-96.595889, 33.251946], [-96.803319, 33.251946]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='7eeed20da9c42064', url='https://api.twitter.com/1.1/geo/id/7eeed20da9c42064.json', place_type='city', name='McKinney', full_name='McKinney, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-96.803319, 33.137357], [-96.595889, 33.137357], [-96.595889, 33.251946], [-96.803319, 33.251946]]]), attributes={})"
32863,1422346918999568386,2021-08-03 00:01:46+00:00,Yes! https://t.co/KHr8mbtCdD,"Queens, NY","[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00c39537733fa112', url='https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', place_type='city', name='Queens', full_name='Queens, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]), attributes={})"
40063,1422346945121619969,2021-08-03 00:01:52+00:00,I would like to request an updated Mykayla Skinner montage from #Golden to include her Olympic finals vaults and th… https://t.co/G3ITL19dkY,"Queens, NY","[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00c39537733fa112', url='https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', place_type='city', name='Queens', full_name='Queens, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]), attributes={})"
13068,1422347137723998210,2021-08-03 00:02:38+00:00,Summer Olympics are a blast https://t.co/dJwHX39zTX,"Laie, HI","[[[-157.938319, 21.625099], [-157.912018, 21.625099], [-157.912018, 21.661968], [-157.938319, 21.661968]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='e9cba3f5c03c8c20', url='https://api.twitter.com/1.1/geo/id/e9cba3f5c03c8c20.json', place_type='city', name='Laie', full_name='Laie, HI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-157.938319, 21.625099], [-157.912018, 21.625099], [-157.912018, 21.661968], [-157.938319, 21.661968]]]), attributes={})"
37443,1422347308226785280,2021-08-03 00:03:18+00:00,@TestamentOfDark @TheNomiGirl @BowieArt @DavidBowieReal @2006Giuliana @Tzipor336 @colacrom @Franklyaghost… https://t.co/lEhxYu0JJ8,"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})"
41781,1422347331610030093,2021-08-03 00:03:24+00:00,もうすぐ男子バスケの準々決勝が開戦。注目のアメリカ対スペイン戦は日本時間13:40PM、米東部時間で12:40AMからです。　　バスケ王国アメリカの真価が問われる準々決勝・Ｗ杯王者スペイン戦のポイントは？(杉浦大介)… https://t.co/fzRQcZyaCp,"Queens, NY","[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00c39537733fa112', url='https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', place_type='city', name='Queens', full_name='Queens, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]), attributes={})"
44002,1422347360219369474,2021-08-03 00:03:31+00:00,Let’s Go! @Olympic gymnast #Simonebiles Makes Dramatic Return for #Olympics Beam Final https://t.co/K4OFaJ35Bi #OlympicGames,"Hoboken, NJ","[[[-74.044085, 40.7336], [-74.020431, 40.7336], [-74.020431, 40.7591594], [-74.044085, 40.7591594]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='e9143a85705b4d40', url='https://api.twitter.com/1.1/geo/id/e9143a85705b4d40.json', place_type='city', name='Hoboken', full_name='Hoboken, NJ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.044085, 40.7336], [-74.020431, 40.7336], [-74.020431, 40.7591594], [-74.044085, 40.7591594]]]), attributes={})"
44010,1422347468071751682,2021-08-03 00:03:56+00:00,These women's beach volleyball bottoms would not cover one of my boobs. #Olympics #WomensRights,"Sharon, PA","[[[-80.519115, 41.2144423], [-80.475449, 41.2144423], [-80.475449, 41.255621], [-80.519115, 41.255621]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='05726d40e9a5df75', url='https://api.twitter.com/1.1/geo/id/05726d40e9a5df75.json', place_type='city', name='Sharon', full_name='Sharon, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-80.519115, 41.2144423], [-80.475449, 41.2144423], [-80.475449, 41.255621], [-80.519115, 41.255621]]]), attributes={})"
44008,1422347471821316096,2021-08-03 00:03:57+00:00,Ok I’m now tired of Olympics. #fatigued,"Idaho, USA","[[[-117.243028, 41.987982], [-111.0434969, 41.987982], [-111.0434969, 49.001121], [-117.243028, 49.001121]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4723507d8ce23a60', url='https://api.twitter.com/1.1/geo/id/4723507d8ce23a60.json', place_type='admin', name='Idaho', full_name='Idaho, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-117.243028, 41.987982], [-111.0434969, 41.987982], [-111.0434969, 49.001121], [-117.243028, 49.001121]]]), attributes={})"
41316,1422347679393357832,2021-08-03 00:04:47+00:00,🥇🥈🥉 https://t.co/GBbCRKNgmO,"Fall River, MA","[[[-71.195676, 41.603903], [-71.101605, 41.603903], [-71.101605, 41.7682983], [-71.195676, 41.7682983]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1496f43fd8a3341f', url='https://api.twitter.com/1.1/geo/id/1496f43fd8a3341f.json', place_type='city', name='Fall River', full_name='Fall River, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-71.195676, 41.603903], [-71.101605, 41.603903], [-71.101605, 41.7682983], [-71.195676, 41.7682983]]]), attributes={})"
41800,1422347834117042176,2021-08-03 00:05:24+00:00,Sabor! 🇨🇴 🎶 #Olympics https://t.co/mtwKhd1vEx,"Chesterfield, MO","[[[-90.674747, 38.610603], [-90.48775, 38.610603], [-90.48775, 38.692771], [-90.674747, 38.692771]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='f9eb1e0194f99f8b', url='https://api.twitter.com/1.1/geo/id/f9eb1e0194f99f8b.json', place_type='city', name='Chesterfield', full_name='Chesterfield, MO', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-90.674747, 38.610603], [-90.48775, 38.610603], [-90.48775, 38.692771], [-90.674747, 38.692771]]]), attributes={})"
24462,1422348050379415592,2021-08-03 00:06:15+00:00,"There are several neat ""Athletes in 3D"" in the Google iOS app, that you can also watch in #AugmentedReality.… https://t.co/NeGrtD6yFy","Oakland, CA","[[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='ab2f2fac83aa388d', url='https://api.twitter.com/1.1/geo/id/ab2f2fac83aa388d.json', place_type='city', name='Oakland', full_name='Oakland, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]]), attributes={})"
24460,1422348067395837955,2021-08-03 00:06:19+00:00,@mPinoe you disgraced America with your pathetic antics most of America was glad you failed. Try respecting your co… https://t.co/v2hgPF4PSs,"Ware, MA","[[[-72.285866, 42.229246], [-72.209092, 42.229246], [-72.209092, 42.294376], [-72.285866, 42.294376]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3d9554588f81acab', url='https://api.twitter.com/1.1/geo/id/3d9554588f81acab.json', place_type='city', name='Ware', full_name='Ware, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-72.285866, 42.229246], [-72.209092, 42.229246], [-72.209092, 42.294376], [-72.285866, 42.294376]]]), attributes={})"
8335,1422348074899447810,2021-08-03 00:06:21+00:00,Olympics got that man a nice bag https://t.co/3pu17kCl9Q,"Austin, TX","[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='c3f37afa9efcf94b', url='https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json', place_type='city', name='Austin', full_name='Austin, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]), attributes={})"
18308,1422348156621238275,2021-08-03 00:06:41+00:00,See what you have here is an mongoliod idiot that doesn't know what it what to be and is seriously brainwashed. I d… https://t.co/IGvIEGp89E,"Delaware, USA","[[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3f5897b87d2bf56c', url='https://api.twitter.com/1.1/geo/id/3f5897b87d2bf56c.json', place_type='admin', name='Delaware', full_name='Delaware, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]]), attributes={})"
