,id,time,text,city_name,coordinates,place
6056,1419809803690397700,2021-07-27 00:00:10+00:00,"I’ve to say, 3 days through the #Tokyo2020 #Olympics  and so far I’m very disappointed with #Godzilla.","Anchorage, AK","[[[-150.0352589, 61.043884], [-149.48233, 61.043884], [-149.48233, 61.426201], [-150.0352589, 61.426201]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='7a863bb88e5bb33c', url='https://api.twitter.com/1.1/geo/id/7a863bb88e5bb33c.json', place_type='city', name='Anchorage', full_name='Anchorage, AK', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-150.0352589, 61.043884], [-149.48233, 61.043884], [-149.48233, 61.426201], [-150.0352589, 61.426201]]]), attributes={})"
7952,1419809828411695114,2021-07-27 00:00:16+00:00,That was way fun to see! ❤️ https://t.co/899A1RErkd,"Burke, VA","[[[-77.327307, 38.745249], [-77.227003, 38.745249], [-77.227003, 38.841994], [-77.327307, 38.841994]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4769ebcaeee50421', url='https://api.twitter.com/1.1/geo/id/4769ebcaeee50421.json', place_type='city', name='Burke', full_name='Burke, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-77.327307, 38.745249], [-77.227003, 38.745249], [-77.227003, 38.841994], [-77.327307, 38.841994]]]), attributes={})"
8154,1419809873403985920,2021-07-27 00:00:27+00:00,I’d counter with the best people 3 people are never on at once. The tournament of champions however is the Olympics! https://t.co/XbPDvDhKyx,"Indianapolis, IN","[[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='018929347840059e', url='https://api.twitter.com/1.1/geo/id/018929347840059e.json', place_type='city', name='Indianapolis', full_name='Indianapolis, IN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]]), attributes={})"
9866,1419810023312609284,2021-07-27 00:01:03+00:00,"This is a good idea, but probably is economically impossible when the live olympic schedule is almost exactly a hal… https://t.co/9kzxDtkLpa","Arlington, VA","[[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='319ee7b36c9149da', url='https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', place_type='city', name='Arlington', full_name='Arlington, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]]), attributes={})"
38,1419810064005836807,2021-07-27 00:01:12+00:00,Los taekwondoínes aztecas Carlos Sansores Acevedo y Briseida Acosta van por el pase a los Cuartos de Final en… https://t.co/rC1A2LA0oT,"Houston, TX","[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1c69a67ad480e1b1', url='https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json', place_type='city', name='Houston', full_name='Houston, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]), attributes={})"
6064,1419810172298534922,2021-07-27 00:01:38+00:00,I prefer to watch Wrestling &amp; Auto Racing but NBC's NBC Olympics website for the Olympics is really great. You can… https://t.co/3sVAuLdiZW,"Port Ewen, NY","[[[-73.998792, 41.881234], [-73.9675788, 41.881234], [-73.9675788, 41.920618], [-73.998792, 41.920618]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4b19324eb5b80ca9', url='https://api.twitter.com/1.1/geo/id/4b19324eb5b80ca9.json', place_type='city', name='Port Ewen', full_name='Port Ewen, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.998792, 41.881234], [-73.9675788, 41.881234], [-73.9675788, 41.920618], [-73.998792, 41.920618]]]), attributes={})"
6052,1419810189465772033,2021-07-27 00:01:42+00:00,"In the past I would watch the special Olympics Basketball and Soccer TV channels. 

If the NBC Olympics website rep… https://t.co/yi7PLm0cQS","Port Ewen, NY","[[[-73.998792, 41.881234], [-73.9675788, 41.881234], [-73.9675788, 41.920618], [-73.998792, 41.920618]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4b19324eb5b80ca9', url='https://api.twitter.com/1.1/geo/id/4b19324eb5b80ca9.json', place_type='city', name='Port Ewen', full_name='Port Ewen, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.998792, 41.881234], [-73.9675788, 41.881234], [-73.9675788, 41.920618], [-73.998792, 41.920618]]]), attributes={})"
40,1419810291345367041,2021-07-27 00:02:06+00:00,"FLORA DUFFY!

That’s it, that’s the tweet… ok here’s more #goldmedalist #Olympics 🎉🔥🇧🇲🔥🎉🥇 https://t.co/0D4Y8Y103s","Los Angeles, CA","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})"
7682,1419810324778307584,2021-07-27 00:02:14+00:00,"Watching the Olympics makes me want to expose my kids to every sport, musical instrument, art, etc. Like how do kid… https://t.co/cr8CwSXvWy","Columbus, OH","[[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3df0e3eb1e91170b', url='https://api.twitter.com/1.1/geo/id/3df0e3eb1e91170b.json', place_type='city', name='Columbus', full_name='Columbus, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]]), attributes={})"
1057,1419810445146341377,2021-07-27 00:02:43+00:00,Bermuda Twitter finna seize you https://t.co/PpH1zBBRql,"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})"
7685,1419810449382514689,2021-07-27 00:02:44+00:00,"@JuIia_Caesar 1st place prob got an automatic bid right to the Olympics, tbh","University Place, WA","[[[-122.5842804, 47.1851931], [-122.505193, 47.1851931], [-122.505193, 47.2450027], [-122.5842804, 47.2450027]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='9cd68e26f3c4880c', url='https://api.twitter.com/1.1/geo/id/9cd68e26f3c4880c.json', place_type='city', name='University Place', full_name='University Place, WA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-122.5842804, 47.1851931], [-122.505193, 47.1851931], [-122.505193, 47.2450027], [-122.5842804, 47.2450027]]]), attributes={})"
1046,1419810543976779779,2021-07-27 00:03:07+00:00,#waterpolo #Toyko2020 #Tokyo2020,"West Chester, OH","[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0019267176557307', url='https://api.twitter.com/1.1/geo/id/0019267176557307.json', place_type='city', name='West Chester', full_name='West Chester, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]), attributes={})"
3387,1419810683164585986,2021-07-27 00:03:40+00:00,Wrong haircut https://t.co/vnvE2Cy4jQ,"Phoenix, AZ","[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='5c62ffb0f0f3479d', url='https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json', place_type='city', name='Phoenix', full_name='Phoenix, AZ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]), attributes={})"
