,id,time,text,city_name,coordinates,place
24546,1419085094694703108,2021-07-25 00:00:26+00:00,The Olympics - an occasional remainder why I don’t watch broadcast television 😳,"San Francisco, CA","[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='5a110d312052166f', url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', place_type='city', name='San Francisco', full_name='San Francisco, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]), attributes={})"
17372,1419085182196404228,2021-07-25 00:00:47+00:00,So 3x3 basketball is one of the new #Olympics events!! Watched it this morning and that was awesome!! Now watching… https://t.co/25U4TVBvAE,"Pittsville, TX","[[[-95.282602, 30.032709], [-95.2228157, 30.032709], [-95.2228157, 30.071386], [-95.282602, 30.071386]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00b50e784d19b32f', url='https://api.twitter.com/1.1/geo/id/00b50e784d19b32f.json', place_type='city', name='Pittsville', full_name='Pittsville, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-95.282602, 30.032709], [-95.2228157, 30.032709], [-95.2228157, 30.071386], [-95.282602, 30.071386]]]), attributes={})"
28148,1419085334193836034,2021-07-25 00:01:23+00:00,Damn do I love the Olympics.,"Cleveland, OH","[[[-81.877771, 41.392684], [-81.5331634, 41.392684], [-81.5331634, 41.599195], [-81.877771, 41.599195]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0eb9676d24b211f1', url='https://api.twitter.com/1.1/geo/id/0eb9676d24b211f1.json', place_type='city', name='Cleveland', full_name='Cleveland, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.877771, 41.392684], [-81.5331634, 41.392684], [-81.5331634, 41.599195], [-81.877771, 41.599195]]]), attributes={})"
28513,1419085345946095617,2021-07-25 00:01:26+00:00,Oops https://t.co/SNQ5YBdee9,"Oakland, CA","[[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='ab2f2fac83aa388d', url='https://api.twitter.com/1.1/geo/id/ab2f2fac83aa388d.json', place_type='city', name='Oakland', full_name='Oakland, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]]), attributes={})"
17096,1419085441584730115,2021-07-25 00:01:49+00:00,sunday scaries thanks to the olympics,"Johnson City, TN","[[[-82.4759055, 36.2592231], [-82.300523, 36.2592231], [-82.300523, 36.430258], [-82.4759055, 36.430258]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4185eba3c7183f0b', url='https://api.twitter.com/1.1/geo/id/4185eba3c7183f0b.json', place_type='city', name='Johnson City', full_name='Johnson City, TN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.4759055, 36.2592231], [-82.300523, 36.2592231], [-82.300523, 36.430258], [-82.4759055, 36.430258]]]), attributes={})"
10112,1419085461709074432,2021-07-25 00:01:54+00:00,"Never thought that rowing would put me on such pins-and-needles, Team USA did great in qualifying for the finals is… https://t.co/pmX39qLrck","Arlington Heights, IL","[[[-88.026334, 42.028374], [-87.9446184, 42.028374], [-87.9446184, 42.162938], [-88.026334, 42.162938]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='cdf74b55fc0d4600', url='https://api.twitter.com/1.1/geo/id/cdf74b55fc0d4600.json', place_type='city', name='Arlington Heights', full_name='Arlington Heights, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-88.026334, 42.028374], [-87.9446184, 42.028374], [-87.9446184, 42.162938], [-88.026334, 42.162938]]]), attributes={})"
20014,1419085471393718276,2021-07-25 00:01:56+00:00,"""It's not something I take lightly.""

Donning the No. 10 jersey in honor of the late Kobe Bryant, @jaytatum0 and… https://t.co/v2al4srsGU","North Carolina, USA","[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3b98b02fba3f9753', url='https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json', place_type='admin', name='North Carolina', full_name='North Carolina, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]), attributes={})"
24249,1419085583805202433,2021-07-25 00:02:23+00:00,"And here we go, everything we've been waiting on for well over a year has now begun. So incredibly proud to be runn… https://t.co/3X0mt2q2Wb","Southglenn, CO","[[[-104.988399, 39.565951], [-104.922825, 39.565951], [-104.922825, 39.613203], [-104.988399, 39.613203]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='85c09b7b6a803faf', url='https://api.twitter.com/1.1/geo/id/85c09b7b6a803faf.json', place_type='city', name='Southglenn', full_name='Southglenn, CO', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-104.988399, 39.565951], [-104.922825, 39.565951], [-104.922825, 39.613203], [-104.988399, 39.613203]]]), attributes={})"
20016,1419085729242619907,2021-07-25 00:02:57+00:00,🇵🇪🇵🇪🇵🇪 https://t.co/rH2Jd0GHgL,"La Crescenta-Montrose, CA","[[[-118.248823, 34.20542], [-118.221659, 34.20542], [-118.221659, 34.2523315], [-118.248823, 34.2523315]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='33ea9c2aad1edb4c', url='https://api.twitter.com/1.1/geo/id/33ea9c2aad1edb4c.json', place_type='city', name='La Crescenta-Montrose', full_name='La Crescenta-Montrose, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.248823, 34.20542], [-118.221659, 34.20542], [-118.221659, 34.2523315], [-118.248823, 34.2523315]]]), attributes={})"
24557,1419085741154443264,2021-07-25 00:03:00+00:00,"Bro school is so far north I’m out here watching the olympics on the Canadian channel, wild.","Michigan, USA","[[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='67d92742f1ebf307', url='https://api.twitter.com/1.1/geo/id/67d92742f1ebf307.json', place_type='admin', name='Michigan', full_name='Michigan, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]]), attributes={})"
