,id,time,text,city_name,coordinates,place
48667,1424158600428199938,2021-08-08 00:00:44+00:00,Hey @marczumoff on the opening of the Olympics….,"Philadelphia, PA","[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='e4a0d228eb6be76b', url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', place_type='city', name='Philadelphia', full_name='Philadelphia, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]]), attributes={})"
15355,1424158641721122819,2021-08-08 00:00:54+00:00,"He looks kinda happy, doesn't he? #TokyoOlympics #marathon #kipchoge 🏃🏽I need those shoes! 👟 #running","Florida, USA","[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4ec01c9dbc693497', url='https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json', place_type='admin', name='Florida', full_name='Florida, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]), attributes={})"
48310,1424158850924511234,2021-08-08 00:01:44+00:00,Texas boys dominating the AAU Junior Olympics in the 17-18yr old boys 3000 https://t.co/TlP2Ox71eb,AAU Junior Olympics,"[[[-95.24539217325953, 29.983210223481624], [-95.24539217325953, 29.983210223481624], [-95.24539217325953, 29.983210223481624], [-95.24539217325953, 29.983210223481624]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='07d9e040d3887000', url='https://api.twitter.com/1.1/geo/id/07d9e040d3887000.json', place_type='poi', name='AAU Junior Olympics', full_name='AAU Junior Olympics', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-95.24539217325953, 29.983210223481624], [-95.24539217325953, 29.983210223481624], [-95.24539217325953, 29.983210223481624], [-95.24539217325953, 29.983210223481624]]]), attributes={})"
48313,1424158871979888642,2021-08-08 00:01:49+00:00,@WomenInTurf working hard for the future of turfgrass development and improvement.   #007Bentgrass   #SuperBents https://t.co/ir1DjXF75F,"Phoenix, AZ","[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='5c62ffb0f0f3479d', url='https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json', place_type='city', name='Phoenix', full_name='Phoenix, AZ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]), attributes={})"
23908,1424159061864558593,2021-08-08 00:02:34+00:00,She’s me of my favorite of all time!! https://t.co/rhWlpfIuPY,"Texas, USA","[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='e0060cda70f5f341', url='https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json', place_type='admin', name='Texas', full_name='Texas, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]), attributes={})"
48319,1424159088104165379,2021-08-08 00:02:40+00:00,In a league all by himself. #AbsoluteLegend #kipchoge #marathon #TokyoOlympics https://t.co/UIxsU202Mz,"Charlotte, NC","[[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='512a8a4a4c4b4be0', url='https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json', place_type='city', name='Charlotte', full_name='Charlotte, NC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]]), attributes={})"
47198,1424159298352029698,2021-08-08 00:03:30+00:00,"What I think I look like on my long run

vs.

What I actually look like 

#Marathon #Olympics #OlympicGames… https://t.co/QWOl9CdDJH","Overland, MO","[[[-90.409123, 38.6771999], [-90.341769, 38.6771999], [-90.341769, 38.72229], [-90.409123, 38.72229]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1316eee69a639480', url='https://api.twitter.com/1.1/geo/id/1316eee69a639480.json', place_type='city', name='Overland', full_name='Overland, MO', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-90.409123, 38.6771999], [-90.341769, 38.6771999], [-90.341769, 38.72229], [-90.409123, 38.72229]]]), attributes={})"
48327,1424159302751825923,2021-08-08 00:03:32+00:00,Let me get ready to watch Allyson Felix and the rest of the #TeamUSA ladies get ready to eat these girls up on the… https://t.co/dY6ACwRzms,"Rockport, MA","[[[-70.643542, 42.62582], [-70.590795, 42.62582], [-70.590795, 42.692075], [-70.643542, 42.692075]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='7ae36c235dd2aa4f', url='https://api.twitter.com/1.1/geo/id/7ae36c235dd2aa4f.json', place_type='city', name='Rockport', full_name='Rockport, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-70.643542, 42.62582], [-70.590795, 42.62582], [-70.590795, 42.692075], [-70.643542, 42.692075]]]), attributes={})"
15394,1424159442908684288,2021-08-08 00:04:05+00:00,SMH https://t.co/KLsrbkCH7z,"St Marys, GA","[[[-81.631306, 30.711204], [-81.520794, 30.711204], [-81.520794, 30.824365], [-81.631306, 30.824365]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0065a394186ea4c0', url='https://api.twitter.com/1.1/geo/id/0065a394186ea4c0.json', place_type='city', name='St Marys', full_name='St Marys, GA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.631306, 30.711204], [-81.520794, 30.711204], [-81.520794, 30.824365], [-81.631306, 30.824365]]]), attributes={})"
55567,1424159545270571008,2021-08-08 00:04:29+00:00,Handball? “WTH is this?!” 😂😂 #Olympics,"Albuquerque, NM","[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='813a485b26b8dae2', url='https://api.twitter.com/1.1/geo/id/813a485b26b8dae2.json', place_type='city', name='Albuquerque', full_name='Albuquerque, NM', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]), attributes={})"
55583,1424159686677262336,2021-08-08 00:05:03+00:00,"I mean, I can see curling 🥌 being an Olympic sport, but handball? #Olympics","Albuquerque, NM","[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='813a485b26b8dae2', url='https://api.twitter.com/1.1/geo/id/813a485b26b8dae2.json', place_type='city', name='Albuquerque', full_name='Albuquerque, NM', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]), attributes={})"
15717,1424159773637873665,2021-08-08 00:05:24+00:00,#osako gets my cheers today..wish Japan 🇯🇵 could get a medal in the marathon. #marathon #Olympics,"Houston, TX","[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1c69a67ad480e1b1', url='https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json', place_type='city', name='Houston', full_name='Houston, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]), attributes={})"
52356,1424159784958312466,2021-08-08 00:05:27+00:00,Handball looks like a sport I’d get picked last for in High School gym class. #Olympics,"Florida, USA","[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4ec01c9dbc693497', url='https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json', place_type='admin', name='Florida', full_name='Florida, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]), attributes={})"
