,id,time,text,city_name,coordinates,place
16591,1422708877829754881,2021-08-04 00:00:03+00:00,Might have caught this during the @NBCOlympics ;) See you September 9th! Go Bucs! @nbc @Buccaneers @NFL #NBC #NFL… https://t.co/mlHUob7KrT,"Lakewood Ranch, FL","[[[-82.459348, 27.386503], [-82.38158, 27.386503], [-82.38158, 27.440276], [-82.459348, 27.440276]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0064b4f401ced97c', url='https://api.twitter.com/1.1/geo/id/0064b4f401ced97c.json', place_type='city', name='Lakewood Ranch', full_name='Lakewood Ranch, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.459348, 27.386503], [-82.38158, 27.386503], [-82.38158, 27.440276], [-82.459348, 27.440276]]]), attributes={})"
56525,1422709292071886848,2021-08-04 00:01:42+00:00,"@darrenrovell Going to get the TV guide for the olympics shrink-wrapped and graded for the future, Darnell?","Kansas, USA","[[[-102.051769, 36.9931101], [-94.588081, 36.9931101], [-94.588081, 40.003282], [-102.051769, 40.003282]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='27c45d804c777999', url='https://api.twitter.com/1.1/geo/id/27c45d804c777999.json', place_type='admin', name='Kansas', full_name='Kansas, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-102.051769, 36.9931101], [-94.588081, 36.9931101], [-94.588081, 40.003282], [-102.051769, 40.003282]]]), attributes={})"
56531,1422709320450519041,2021-08-04 00:01:49+00:00,"It's Teddy Tip Tuesday PEOPLE - Your HEALTH is your WEALTH

#toningbyteddy #TeddyTip #adviceoftheday #health… https://t.co/uBOlinzbhw",Planet Fitness,"[[[-81.74092221717599, 30.186699472555624], [-81.74092221717599, 30.186699472555624], [-81.74092221717599, 30.186699472555624], [-81.74092221717599, 30.186699472555624]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='07d9f73ee0c84002', url='https://api.twitter.com/1.1/geo/id/07d9f73ee0c84002.json', place_type='poi', name='Planet Fitness', full_name='Planet Fitness', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.74092221717599, 30.186699472555624], [-81.74092221717599, 30.186699472555624], [-81.74092221717599, 30.186699472555624], [-81.74092221717599, 30.186699472555624]]]), attributes={})"
16470,1422709453284012034,2021-08-04 00:02:20+00:00,I am really struggling tryna figure out how to watch the Olympics live! I can’t log on to the NBC app bc it doesn’t check that way anymore 😭,"Norfolk, VA","[[[-76.334287, 36.820791], [-76.177085, 36.820791], [-76.177085, 36.969373], [-76.334287, 36.969373]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='b004be67b9fd6d8f', url='https://api.twitter.com/1.1/geo/id/b004be67b9fd6d8f.json', place_type='city', name='Norfolk', full_name='Norfolk, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-76.334287, 36.820791], [-76.177085, 36.820791], [-76.177085, 36.969373], [-76.334287, 36.969373]]]), attributes={})"
42173,1422709465997000707,2021-08-04 00:02:24+00:00,RT https://t.co/LYTl0iDo3y,"Woodhaven, MI","[[[-83.306006, 42.1092163], [-83.215583, 42.1092163], [-83.215583, 42.18442], [-83.306006, 42.18442]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00487e63709614f2', url='https://api.twitter.com/1.1/geo/id/00487e63709614f2.json', place_type='city', name='Woodhaven', full_name='Woodhaven, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-83.306006, 42.1092163], [-83.215583, 42.1092163], [-83.215583, 42.18442], [-83.306006, 42.18442]]]), attributes={})"
24094,1422709688479600645,2021-08-04 00:03:17+00:00,CHECK THIS OUT: Lucas Kozeniesky of @USAShooting (@TeamUSA) was able to join me on @NBCOlympics Olympic Zone today… https://t.co/MWU7feK1yH,"Colorado Springs, CO","[[[-104.910562, 38.741142], [-104.668092, 38.741142], [-104.668092, 39.035895], [-104.910562, 39.035895]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='adc95f2911133646', url='https://api.twitter.com/1.1/geo/id/adc95f2911133646.json', place_type='city', name='Colorado Springs', full_name='Colorado Springs, CO', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-104.910562, 38.741142], [-104.668092, 38.741142], [-104.668092, 39.035895], [-104.910562, 39.035895]]]), attributes={})"
16594,1422709760059756545,2021-08-04 00:03:34+00:00,One jersey at the Olympics. Kai. Nigeria can fall hand damn,"Dallas, TX","[[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='18810aa5b43e76c7', url='https://api.twitter.com/1.1/geo/id/18810aa5b43e76c7.json', place_type='city', name='Dallas', full_name='Dallas, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]]), attributes={})"
16919,1422709812203343874,2021-08-04 00:03:46+00:00,Watching #TrackandField #TokyoOlympics,"West Chester, OH","[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0019267176557307', url='https://api.twitter.com/1.1/geo/id/0019267176557307.json', place_type='city', name='West Chester', full_name='West Chester, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]), attributes={})"
16602,1422709938728493062,2021-08-04 00:04:16+00:00,"Try every day to be positive for a better tomorrow.

#PhotoOfTheDay #photography #cloud #clearthelist #Olympics https://t.co/1YCHD9uBnH","Honolulu, HI","[[[-157.950476, 21.254837], [-157.648702, 21.254837], [-157.648702, 21.38505], [-157.950476, 21.38505]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='c47c0bc571bf5427', url='https://api.twitter.com/1.1/geo/id/c47c0bc571bf5427.json', place_type='city', name='Honolulu', full_name='Honolulu, HI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-157.950476, 21.254837], [-157.648702, 21.254837], [-157.648702, 21.38505], [-157.950476, 21.38505]]]), attributes={})"
16347,1422709977878175746,2021-08-04 00:04:26+00:00,Do we know the timing of when we get to see @Simone_Biles tonight? #TokyoOlympics,"La Canada Flintridge, CA","[[[-118.232096, 34.1784019], [-118.1673368, 34.1784019], [-118.1673368, 34.2428668], [-118.232096, 34.2428668]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3fa117d9d222c4d4', url='https://api.twitter.com/1.1/geo/id/3fa117d9d222c4d4.json', place_type='city', name='La Canada Flintridge', full_name='La Canada Flintridge, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.232096, 34.1784019], [-118.1673368, 34.1784019], [-118.1673368, 34.2428668], [-118.232096, 34.2428668]]]), attributes={})"
