,id,time,text,city_name,coordinates,place
5753,1417635474898923529,2021-07-21 00:00:10+00:00,@KathrynTappen @NBCSports @NBCOlympics Stay safe. Man I hope I'm wrong about how bad this could get. Love watching… https://t.co/fqFC3xLko5,"Michigan, USA","[[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='67d92742f1ebf307', url='https://api.twitter.com/1.1/geo/id/67d92742f1ebf307.json', place_type='admin', name='Michigan', full_name='Michigan, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]]), attributes={})"
7078,1417635772790939650,2021-07-21 00:01:21+00:00,"The Olympics are back, y’all. Let’s play some softball!","Orange City, FL","[[[-81.3155653, 28.897085], [-81.26003, 28.897085], [-81.26003, 28.963285], [-81.3155653, 28.963285]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='8303573242b7cf82', url='https://api.twitter.com/1.1/geo/id/8303573242b7cf82.json', place_type='city', name='Orange City', full_name='Orange City, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.3155653, 28.897085], [-81.26003, 28.897085], [-81.26003, 28.963285], [-81.3155653, 28.963285]]]), attributes={})"
5761,1417635990026530824,2021-07-21 00:02:13+00:00,man kobe know who that is !!!! https://t.co/56BlI2z8IZ,"Terrytown, LA","[[[-90.043765, 29.878501], [-90.008313, 29.878501], [-90.008313, 29.9291696], [-90.043765, 29.9291696]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='9c97662afdd448aa', url='https://api.twitter.com/1.1/geo/id/9c97662afdd448aa.json', place_type='city', name='Terrytown', full_name='Terrytown, LA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-90.043765, 29.878501], [-90.008313, 29.878501], [-90.008313, 29.9291696], [-90.043765, 29.9291696]]]), attributes={})"
2281,1417636084733956101,2021-07-21 00:02:35+00:00,SO FREAKIN EXCITING!!!! https://t.co/IAkMrJcnrZ,"Auburn, AL","[[[-85.569969, 32.532449], [-85.413112, 32.532449], [-85.413112, 32.6620408], [-85.569969, 32.6620408]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='deb349182b3f42bb', url='https://api.twitter.com/1.1/geo/id/deb349182b3f42bb.json', place_type='city', name='Auburn', full_name='Auburn, AL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-85.569969, 32.532449], [-85.413112, 32.532449], [-85.413112, 32.6620408], [-85.569969, 32.6620408]]]), attributes={})"
4224,1417636088890408969,2021-07-21 00:02:36+00:00,First event of #TokyoOlympics 🙌🏻 https://t.co/MraHgQEPpe,"Chicago, IL","[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1d9a5370a355ab0c', url='https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json', place_type='city', name='Chicago', full_name='Chicago, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]), attributes={})"
5759,1417636221971570692,2021-07-21 00:03:08+00:00,@boxingrich Golf shouldnt even be in the Olympics.  I have long aaid the decline of what I consider the real Olympi… https://t.co/uHVuu6Cpmf,"Lansdale, PA","[[[-75.303353, 40.222978], [-75.254299, 40.222978], [-75.254299, 40.261341], [-75.303353, 40.261341]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='878041494911ce4f', url='https://api.twitter.com/1.1/geo/id/878041494911ce4f.json', place_type='city', name='Lansdale', full_name='Lansdale, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-75.303353, 40.222978], [-75.254299, 40.222978], [-75.254299, 40.261341], [-75.303353, 40.261341]]]), attributes={})"
3666,1417636255542779904,2021-07-21 00:03:16+00:00,#Tokyo2020 is underway!!,"Radnor Township, PA","[[[-75.414963, 39.990341], [-75.320698, 39.990341], [-75.320698, 40.066378], [-75.414963, 40.066378]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='d180df6c736539e4', url='https://api.twitter.com/1.1/geo/id/d180df6c736539e4.json', place_type='city', name='Radnor Township', full_name='Radnor Township, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-75.414963, 39.990341], [-75.320698, 39.990341], [-75.320698, 40.066378], [-75.414963, 40.066378]]]), attributes={})"
5685,1417636489324908546,2021-07-21 00:04:12+00:00,"As the Olympics get underway in Tokyo, shout-out to John Williams (and Leo Arnaud’s bugle fanfare) for dominating t… https://t.co/6Mc5ZjLdLs","Goshen, IN","[[[-85.91235, 41.515957], [-85.770099, 41.515957], [-85.770099, 41.629644], [-85.91235, 41.629644]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4fbddb5bf6f19735', url='https://api.twitter.com/1.1/geo/id/4fbddb5bf6f19735.json', place_type='city', name='Goshen', full_name='Goshen, IN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-85.91235, 41.515957], [-85.770099, 41.515957], [-85.770099, 41.629644], [-85.91235, 41.629644]]]), attributes={})"
7107,1417636706233241609,2021-07-21 00:05:03+00:00,#Japan beat Team #USA in #Softball in 2008 for the gold medal. The sport hasn’t been played again until these… https://t.co/9ohXJtm1A0,Timberlane Golf & Country Club,"[[[-90.04027606329252, 29.879652648883393], [-90.04027606329252, 29.879652648883393], [-90.04027606329252, 29.879652648883393], [-90.04027606329252, 29.879652648883393]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='07d9ca278f083001', url='https://api.twitter.com/1.1/geo/id/07d9ca278f083001.json', place_type='poi', name='Timberlane Golf & Country Club', full_name='Timberlane Golf & Country Club', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-90.04027606329252, 29.879652648883393], [-90.04027606329252, 29.879652648883393], [-90.04027606329252, 29.879652648883393], [-90.04027606329252, 29.879652648883393]]]), attributes={})"
6232,1417636723148853253,2021-07-21 00:05:07+00:00,Wait — they’re playing the Australia-Japan Olympic softball game on a converted baseball field? 🧐🧐🧐 #Olympics https://t.co/mGHsAfZJuP,"Sandusky, OH","[[[-82.78773, 41.4093721], [-82.617802, 41.4093721], [-82.617802, 41.492373], [-82.78773, 41.492373]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='fcc54ac4568181a4', url='https://api.twitter.com/1.1/geo/id/fcc54ac4568181a4.json', place_type='city', name='Sandusky', full_name='Sandusky, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.78773, 41.4093721], [-82.617802, 41.4093721], [-82.617802, 41.492373], [-82.78773, 41.492373]]]), attributes={})"
