,id,time,text,city_name,coordinates,place
39424,1421259330838540295,2021-07-31 00:00:04+00:00,#TeamGB won #triathlon #Olympics2020 #Toyko2020,"West Chester, OH","[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0019267176557307', url='https://api.twitter.com/1.1/geo/id/0019267176557307.json', place_type='city', name='West Chester', full_name='West Chester, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]), attributes={})"
17157,1421259710884417537,2021-07-31 00:01:35+00:00,Opposite ends of the athletic body type @lauryn_banner said you wouldn't know it but there are five other distance… https://t.co/Pl7ETM87wx,"Johnson City, TN","[[[-82.4759055, 36.2592231], [-82.300523, 36.2592231], [-82.300523, 36.430258], [-82.4759055, 36.430258]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4185eba3c7183f0b', url='https://api.twitter.com/1.1/geo/id/4185eba3c7183f0b.json', place_type='city', name='Johnson City', full_name='Johnson City, TN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.4759055, 36.2592231], [-82.300523, 36.2592231], [-82.300523, 36.430258], [-82.4759055, 36.430258]]]), attributes={})"
39420,1421259737694445583,2021-07-31 00:01:41+00:00,@AnglingNArchery @USABaseball @TeamUSA @WBSC @NBCOlympics @Olympics @MiLB @MLBNetwork NBC sports app sir!,"Zanesville, OH","[[[-82.121534, 39.908312], [-81.976901, 39.908312], [-81.976901, 39.999527], [-82.121534, 39.999527]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='f4a27b9e3d616757', url='https://api.twitter.com/1.1/geo/id/f4a27b9e3d616757.json', place_type='city', name='Zanesville', full_name='Zanesville, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.121534, 39.908312], [-81.976901, 39.908312], [-81.976901, 39.999527], [-82.121534, 39.999527]]]), attributes={})"
30184,1421259768891576321,2021-07-31 00:01:49+00:00,"It’s the Olympics. There are no weekends. See you in 2 weeks, Daniel Craig. https://t.co/xA3IEZ1KUJ","New Canaan, CT","[[[-73.5537, 41.11369], [-73.4489288, 41.11369], [-73.4489288, 41.211627], [-73.5537, 41.211627]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00e3a4ae2ccf6ada', url='https://api.twitter.com/1.1/geo/id/00e3a4ae2ccf6ada.json', place_type='city', name='New Canaan', full_name='New Canaan, CT', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.5537, 41.11369], [-73.4489288, 41.11369], [-73.4489288, 41.211627], [-73.5537, 41.211627]]]), attributes={})"
54236,1421259812097171461,2021-07-31 00:01:59+00:00,@Timothy58100352 @USABaseball @TeamUSA @WBSC @NBCOlympics @Olympics @MiLB @MLBNetwork All night my man! Go USA baseball,"Zanesville, OH","[[[-82.121534, 39.908312], [-81.976901, 39.908312], [-81.976901, 39.999527], [-82.121534, 39.999527]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='f4a27b9e3d616757', url='https://api.twitter.com/1.1/geo/id/f4a27b9e3d616757.json', place_type='city', name='Zanesville', full_name='Zanesville, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.121534, 39.908312], [-81.976901, 39.908312], [-81.976901, 39.999527], [-82.121534, 39.999527]]]), attributes={})"
30367,1421259874814644231,2021-07-31 00:02:14+00:00,"Rory McIlroy, championing mental health at Olympics, in medal contention with strong Round 2 https://t.co/NDNKuOinwi via @usatoday","New City, NY","[[[-74.025285, 41.107441], [-73.943839, 41.107441], [-73.943839, 41.192559], [-74.025285, 41.192559]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4993b962771646cb', url='https://api.twitter.com/1.1/geo/id/4993b962771646cb.json', place_type='city', name='New City', full_name='New City, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.025285, 41.107441], [-73.943839, 41.107441], [-73.943839, 41.192559], [-74.025285, 41.192559]]]), attributes={})"
39421,1421259877163339781,2021-07-31 00:02:15+00:00,Some in that group are just straight up haters https://t.co/JryEyzd2D3,"Fort Mill, SC","[[[-80.991523, 34.897011], [-80.803177, 34.897011], [-80.803177, 35.107416], [-80.991523, 35.107416]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='fa2609437f549b51', url='https://api.twitter.com/1.1/geo/id/fa2609437f549b51.json', place_type='city', name='Fort Mill', full_name='Fort Mill, SC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-80.991523, 34.897011], [-80.803177, 34.897011], [-80.803177, 35.107416], [-80.991523, 35.107416]]]), attributes={})"
39313,1421259982947893249,2021-07-31 00:02:40+00:00,Now #TrackandField #TokyoOlympics,"West Chester, OH","[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0019267176557307', url='https://api.twitter.com/1.1/geo/id/0019267176557307.json', place_type='city', name='West Chester', full_name='West Chester, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.4832977, 39.2957423], [-84.346523, 39.2957423], [-84.346523, 39.374689], [-84.4832977, 39.374689]]]), attributes={})"
54355,1421260014489153541,2021-07-31 00:02:47+00:00,Olympic track is so weird in an empty stadium #TokyoOlympics,"Temple, TX","[[[-97.500586, 31.031178], [-97.311609, 31.031178], [-97.311609, 31.189775], [-97.500586, 31.189775]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='c5c0e4d49b664e49', url='https://api.twitter.com/1.1/geo/id/c5c0e4d49b664e49.json', place_type='city', name='Temple', full_name='Temple, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-97.500586, 31.031178], [-97.311609, 31.031178], [-97.311609, 31.189775], [-97.500586, 31.189775]]]), attributes={})"
38340,1421260070579494914,2021-07-31 00:03:01+00:00,"did you know… greeks invented the #olympics ? 

(said every Greek at some point in the last week) 🇬🇷","Chicago, IL","[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1d9a5370a355ab0c', url='https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json', place_type='city', name='Chicago', full_name='Chicago, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]), attributes={})"
