,id,time,text,city_name,coordinates,place
49828,1418360552506773506,2021-07-23 00:01:22+00:00,Who plans to watch? #TokyoOlympics,"Queens, NY","[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00c39537733fa112', url='https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', place_type='city', name='Queens', full_name='Queens, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]), attributes={})"
45887,1418361016463859715,2021-07-23 00:03:12+00:00,I love the Olympics! Every time they come up I discuss which obscure sport I should have tried in order to make it… https://t.co/I8pLq7iofl,"Texas, USA","[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='e0060cda70f5f341', url='https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json', place_type='admin', name='Texas', full_name='Texas, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]), attributes={})"
15367,1418361110047064064,2021-07-23 00:03:35+00:00,Lilly Harrison of @SOCALWPF 14U on today’s win and her goal for Junior Olympics!#2021JOs https://t.co/LUMft07qzV,"Cypress, CA","[[[-118.0632981, 33.791963], [-118.010668, 33.791963], [-118.010668, 33.8458557], [-118.0632981, 33.8458557]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='a077793faceeda6f', url='https://api.twitter.com/1.1/geo/id/a077793faceeda6f.json', place_type='city', name='Cypress', full_name='Cypress, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.0632981, 33.791963], [-118.010668, 33.791963], [-118.010668, 33.8458557], [-118.0632981, 33.8458557]]]), attributes={})"
56704,1418361480605360129,2021-07-23 00:05:03+00:00,@Olympics I wish EVERY athlete there ALLLLL the absolute best for them.❤️🇮🇹❤️🙏🏽🤞🏽🤗👏🏽👏🏽👏🏽,"Los Angeles, CA","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})"
19910,1418361733148774406,2021-07-23 00:06:03+00:00,Jay knows Michigan Olympic sports as well as anyone and I'm hyped for this project! https://t.co/B4YGxq9aqx,"Wixom, MI","[[[-83.559041, 42.4928472], [-83.4992792, 42.4928472], [-83.4992792, 42.563759], [-83.559041, 42.563759]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='17a49f2ba5a82b26', url='https://api.twitter.com/1.1/geo/id/17a49f2ba5a82b26.json', place_type='city', name='Wixom', full_name='Wixom, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-83.559041, 42.4928472], [-83.4992792, 42.4928472], [-83.4992792, 42.563759], [-83.559041, 42.563759]]]), attributes={})"
15841,1418361921120522242,2021-07-23 00:06:48+00:00,"Hopeful, except as they say, one apple can spoil the whole bunch. I don’t want part of that bunch, too much work to… https://t.co/ZrW86GoSAq","Pasadena, CA","[[[-118.198346, 34.117025], [-118.065582, 34.117025], [-118.065582, 34.237595], [-118.198346, 34.237595]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='10de09f288b1665c', url='https://api.twitter.com/1.1/geo/id/10de09f288b1665c.json', place_type='city', name='Pasadena', full_name='Pasadena, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.198346, 34.117025], [-118.065582, 34.117025], [-118.065582, 34.237595], [-118.198346, 34.237595]]]), attributes={})"
27054,1418362908170391553,2021-07-23 00:10:43+00:00,So we all agreed that we’re not really watching the Olympics this year right ? Cause they should have let her run .,"Inkster, MI","[[[-83.339919, 42.274944], [-83.289764, 42.274944], [-83.289764, 42.312042], [-83.339919, 42.312042]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='c1ee57ef7a9ea1fe', url='https://api.twitter.com/1.1/geo/id/c1ee57ef7a9ea1fe.json', place_type='city', name='Inkster', full_name='Inkster, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-83.339919, 42.274944], [-83.289764, 42.274944], [-83.289764, 42.312042], [-83.339919, 42.312042]]]), attributes={})"
44976,1418363087610990594,2021-07-23 00:11:26+00:00,Suki is ready for Tokyo #Olympics2021 High Jump! https://t.co/U8dZwSQchM,"Los Angeles, CA","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})"
15945,1418363364078673925,2021-07-23 00:12:32+00:00,@jlock @Olympics Would love to see this in Track and Field,"Linton Hall, VA","[[[-77.622033, 38.7170968], [-77.534718, 38.7170968], [-77.534718, 38.78464], [-77.622033, 38.78464]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='000ab6b1404a5cd8', url='https://api.twitter.com/1.1/geo/id/000ab6b1404a5cd8.json', place_type='city', name='Linton Hall', full_name='Linton Hall, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-77.622033, 38.7170968], [-77.534718, 38.7170968], [-77.534718, 38.78464], [-77.622033, 38.78464]]]), attributes={})"
9258,1418363489500946435,2021-07-23 00:13:02+00:00,"@jack we’re gonna need you to delete that tweet after the olympics tho, fam","Florida, USA","[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='4ec01c9dbc693497', url='https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json', place_type='admin', name='Florida', full_name='Florida, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]), attributes={})"
