,id,time,text,city_name,coordinates,place
11915,1424520989271117824,2021-08-09 00:00:44+00:00,El verdadero dream team https://t.co/ilH1is3EyL,"Ponce, Puerto Rico","[[[-66.69911, 17.962585], [-66.537494, 17.962585], [-66.537494, 18.115787], [-66.69911, 18.115787]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='57c47fa8f9331a7a', url='https://api.twitter.com/1.1/geo/id/57c47fa8f9331a7a.json', place_type='city', name='Ponce', full_name='Ponce, Puerto Rico', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-66.69911, 17.962585], [-66.537494, 17.962585], [-66.537494, 18.115787], [-66.69911, 18.115787]]]), attributes={})"
5343,1424521245262065673,2021-08-09 00:01:45+00:00,🤙🏽🤙🏽 https://t.co/0QewCeg7cm,"Parsippany, NJ","[[[-74.483462, 40.8279562], [-74.399375, 40.8279562], [-74.399375, 40.885137], [-74.483462, 40.885137]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01476f41278c3cd7', url='https://api.twitter.com/1.1/geo/id/01476f41278c3cd7.json', place_type='city', name='Parsippany', full_name='Parsippany, NJ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.483462, 40.8279562], [-74.399375, 40.8279562], [-74.399375, 40.885137], [-74.483462, 40.885137]]]), attributes={})"
3854,1424521340770525185,2021-08-09 00:02:08+00:00,Johnny Weir. 🤔😒😖#Olympics #ClosingCeremony https://t.co/dvD0qdiF2o,"Derry, NH","[[[-71.3466458, 42.840671], [-71.206356, 42.840671], [-71.206356, 42.9417995], [-71.3466458, 42.9417995]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01fa7dbf73290a3b', url='https://api.twitter.com/1.1/geo/id/01fa7dbf73290a3b.json', place_type='city', name='Derry', full_name='Derry, NH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-71.3466458, 42.840671], [-71.206356, 42.840671], [-71.206356, 42.9417995], [-71.3466458, 42.9417995]]]), attributes={})"
336,1424521410614022150,2021-08-09 00:02:25+00:00,Ready to watch this NBC Olympics Closing Ceremony which will inevitably be terrible. Here we go.,"Cincinnati, OH","[[[-84.710722, 39.052962], [-84.3689026, 39.052962], [-84.3689026, 39.2211137], [-84.710722, 39.2211137]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='e444ecd51bd16ff3', url='https://api.twitter.com/1.1/geo/id/e444ecd51bd16ff3.json', place_type='city', name='Cincinnati', full_name='Cincinnati, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.710722, 39.052962], [-84.3689026, 39.052962], [-84.3689026, 39.2211137], [-84.710722, 39.2211137]]]), attributes={})"
5037,1424521491891294208,2021-08-09 00:02:44+00:00,Tokyo Olympics Men’s Field athlete of the meet?,"Pittsburgh, PA","[[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='946ccd22e1c9cda1', url='https://api.twitter.com/1.1/geo/id/946ccd22e1c9cda1.json', place_type='city', name='Pittsburgh', full_name='Pittsburgh, PA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]]), attributes={})"
339,1424521542277373960,2021-08-09 00:02:56+00:00,@sarahmas https://t.co/rXy2ziPLlD,"Mesa, AZ","[[[-111.894548, 33.306275], [-111.5805834, 33.306275], [-111.5805834, 33.505234], [-111.894548, 33.505234]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='44d207663001f00b', url='https://api.twitter.com/1.1/geo/id/44d207663001f00b.json', place_type='city', name='Mesa', full_name='Mesa, AZ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-111.894548, 33.306275], [-111.5805834, 33.306275], [-111.5805834, 33.505234], [-111.894548, 33.505234]]]), attributes={})"
9428,1424521574900637698,2021-08-09 00:03:04+00:00,"Tokyo Olympics Final Update – Results
Paris, France Next Site For The 2024 Olympic Games

#tokyo2020 #USA 🇺🇸 🥇… https://t.co/48ecFEaJ7E","East Los Angeles, CA","[[[-118.192945, 34.008017], [-118.126513, 34.008017], [-118.126513, 34.062578], [-118.192945, 34.062578]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='67571a7baaa5906b', url='https://api.twitter.com/1.1/geo/id/67571a7baaa5906b.json', place_type='city', name='East Los Angeles', full_name='East Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-118.192945, 34.008017], [-118.126513, 34.008017], [-118.126513, 34.062578], [-118.192945, 34.062578]]]), attributes={})"
7422,1424521667976437763,2021-08-09 00:03:26+00:00,Thank you #Olympics for all the absolute joy and hope you’ve brought to us all❤️. #ClosingCeremony,"Bakersfield, CA","[[[-119.172179, 35.255821], [-118.878147, 35.255821], [-118.878147, 35.4379816], [-119.172179, 35.4379816]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='960993b9cfdffda9', url='https://api.twitter.com/1.1/geo/id/960993b9cfdffda9.json', place_type='city', name='Bakersfield', full_name='Bakersfield, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-119.172179, 35.255821], [-118.878147, 35.255821], [-118.878147, 35.4379816], [-119.172179, 35.4379816]]]), attributes={})"
3906,1424521782028087296,2021-08-09 00:03:53+00:00,Watching gold medal game between United States and France men’s basketball teams. How did #GuerschonYabusele go fro… https://t.co/sicRPIroM6,"Franklin, MA","[[[-71.456408, 42.018277], [-71.359085, 42.018277], [-71.359085, 42.139469], [-71.456408, 42.139469]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='bedf37f15b396b2a', url='https://api.twitter.com/1.1/geo/id/bedf37f15b396b2a.json', place_type='city', name='Franklin', full_name='Franklin, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-71.456408, 42.018277], [-71.359085, 42.018277], [-71.359085, 42.139469], [-71.456408, 42.139469]]]), attributes={})"
3900,1424521840882556937,2021-08-09 00:04:07+00:00,#bb23 and #ClosingCeremony tonight #Olympics #OlympicGames https://t.co/Jg7mwDv67G,"University, FL","[[[-82.45491, 28.054805], [-82.4098119, 28.054805], [-82.4098119, 28.098918], [-82.45491, 28.098918]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='553011a282a18fb5', url='https://api.twitter.com/1.1/geo/id/553011a282a18fb5.json', place_type='city', name='University', full_name='University, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-82.45491, 28.054805], [-82.4098119, 28.054805], [-82.4098119, 28.098918], [-82.45491, 28.098918]]]), attributes={})"
