,id,time,text,city_name,coordinates,place
4651,1423433755432308738,2021-08-06 00:00:28+00:00,"Racewalking: walk like you have to go to the bathroom REAL BAD, but do it for 50 km. #Olympics","Norwalk, CT","[[[-73.502636, 41.055206], [-73.379243, 41.055206], [-73.379243, 41.257357], [-73.502636, 41.257357]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='1cfa9ac27a1e93bd', url='https://api.twitter.com/1.1/geo/id/1cfa9ac27a1e93bd.json', place_type='city', name='Norwalk', full_name='Norwalk, CT', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.502636, 41.055206], [-73.379243, 41.055206], [-73.379243, 41.257357], [-73.502636, 41.257357]]]), attributes={})"
205,1423433855474749443,2021-08-06 00:00:51+00:00,This is a MUST watch with @SnoopDogg in @HORSE_NATION 👏👏👏🐴🐴🐴 https://t.co/5nniB824PS,"Washington, DC","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01fbe706f872cb32', url='https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', place_type='city', name='Washington', full_name='Washington, DC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]), attributes={})"
9441,1423434102821330948,2021-08-06 00:01:50+00:00,NEWS: @SpecOlympicsNY Olympic and Towne Automotive Group team up for “Unified Bocce Experience” https://t.co/tGVExrS496 via @news4buffalo,"Victor, NY","[[[-77.48445, 42.965213], [-77.370621, 42.965213], [-77.370621, 43.034903], [-77.48445, 43.034903]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00201e4c78552ccb', url='https://api.twitter.com/1.1/geo/id/00201e4c78552ccb.json', place_type='city', name='Victor', full_name='Victor, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-77.48445, 42.965213], [-77.370621, 42.965213], [-77.370621, 43.034903], [-77.48445, 43.034903]]]), attributes={})"
4532,1423434106520711172,2021-08-06 00:01:51+00:00,The only Olympics competition I’m interested is catching Flies with Chopsticks 🥢 🪰 #TokyoOlympics #2020Olympics,"Massachusetts, USA","[[[-73.508143, 41.187054], [-69.858861, 41.187054], [-69.858861, 42.8868241], [-73.508143, 42.8868241]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='cd450c94084cbf9b', url='https://api.twitter.com/1.1/geo/id/cd450c94084cbf9b.json', place_type='admin', name='Massachusetts', full_name='Massachusetts, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.508143, 41.187054], [-69.858861, 41.187054], [-69.858861, 42.8868241], [-73.508143, 42.8868241]]]), attributes={})"
398,1423434168856309762,2021-08-06 00:02:06+00:00,Does anyone actually get injured during the speed walking competition? #Olympics2021,"Turlock, CA","[[[-120.912851, 37.459822], [-120.812106, 37.459822], [-120.812106, 37.53937], [-120.912851, 37.53937]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='ee2cfc9feb061a08', url='https://api.twitter.com/1.1/geo/id/ee2cfc9feb061a08.json', place_type='city', name='Turlock', full_name='Turlock, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-120.912851, 37.459822], [-120.812106, 37.459822], [-120.812106, 37.53937], [-120.912851, 37.53937]]]), attributes={})"
708,1423434682402811909,2021-08-06 00:04:09+00:00,"競歩の選手の皆さん、水分摂ってる姿を見ないと心配になっちゃう！
応援してますよ〜！みなさ〜ん📣✨

#OlympicGames #walk #Tokyo2020 #競歩男子 #オリンピック #東京オリンピック","Brookline, MA","[[[-71.178586, 42.29466], [-71.105725, 42.29466], [-71.105725, 42.351818], [-71.178586, 42.351818]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='13f1b1eadfb47f9b', url='https://api.twitter.com/1.1/geo/id/13f1b1eadfb47f9b.json', place_type='city', name='Brookline', full_name='Brookline, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-71.178586, 42.29466], [-71.105725, 42.29466], [-71.105725, 42.351818], [-71.178586, 42.351818]]]), attributes={})"
4045,1423434828272349186,2021-08-06 00:04:43+00:00,"People can rag on NBC’s #Tokyo2020 coverage all they want, but I’ve got mad respect for the gents who were assigned… https://t.co/nuhoxtalg2","Wisconsin, USA","[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='7dc5c6d3bfb10ccc', url='https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json', place_type='admin', name='Wisconsin', full_name='Wisconsin, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]), attributes={})"
5388,1423434861940027393,2021-08-06 00:04:51+00:00,Never seen live race walking on tv…until now #Tokyo2020,"Austin, TX","[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='c3f37afa9efcf94b', url='https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json', place_type='city', name='Austin', full_name='Austin, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]), attributes={})"
5361,1423435020178321409,2021-08-06 00:05:29+00:00,🤮 https://t.co/Vbqsjvs0zJ,"Walnut, CA","[[[-117.895753, 34.00286], [-117.825003, 34.00286], [-117.825003, 34.0634244], [-117.895753, 34.0634244]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='2fd93ef04260afec', url='https://api.twitter.com/1.1/geo/id/2fd93ef04260afec.json', place_type='city', name='Walnut', full_name='Walnut, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-117.895753, 34.00286], [-117.825003, 34.00286], [-117.825003, 34.0634244], [-117.895753, 34.0634244]]]), attributes={})"
22232,1423435247648223235,2021-08-06 00:06:23+00:00,"Excited to see Rhythmic Gymnastics!
https://t.co/nIcR5G75MX","Orlando, FL","[[[-81.507905, 28.3882177], [-81.2276403, 28.3882177], [-81.2276403, 28.615139], [-81.507905, 28.615139]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='55b4f9e5c516e0b6', url='https://api.twitter.com/1.1/geo/id/55b4f9e5c516e0b6.json', place_type='city', name='Orlando', full_name='Orlando, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.507905, 28.3882177], [-81.2276403, 28.3882177], [-81.2276403, 28.615139], [-81.507905, 28.615139]]]), attributes={})"
