,id,time,text,city_name,coordinates,place
6868,1421984280771764224,2021-08-02 00:00:46+00:00,"Ahhhh. The pleasure of a Sunday Funday.

#SundayFunday #OnTheWaterfront #LetsBoogie #GetIntoTheCity… https://t.co/ey1XnaNKN7","Cleveland, OH","[[[-81.877771, 41.392684], [-81.5331634, 41.392684], [-81.5331634, 41.599195], [-81.877771, 41.599195]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='0eb9676d24b211f1', url='https://api.twitter.com/1.1/geo/id/0eb9676d24b211f1.json', place_type='city', name='Cleveland', full_name='Cleveland, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.877771, 41.392684], [-81.5331634, 41.392684], [-81.5331634, 41.599195], [-81.877771, 41.599195]]]), attributes={})"
5863,1421984371620331521,2021-08-02 00:01:08+00:00,"I want to cry in joy for Skinner! So excited for her. So deserved. 

#Tokyo2020 #Olympics2021","Champaign, IL","[[[-88.333161, 40.054674], [-88.225277, 40.054674], [-88.225277, 40.160295], [-88.333161, 40.160295]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='2335250557ea3fb4', url='https://api.twitter.com/1.1/geo/id/2335250557ea3fb4.json', place_type='city', name='Champaign', full_name='Champaign, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-88.333161, 40.054674], [-88.225277, 40.054674], [-88.225277, 40.160295], [-88.333161, 40.160295]]]), attributes={})"
6882,1421984390935154688,2021-08-02 00:01:12+00:00,Makayla skinner has come some far to win the silver 🥈 medal trials never fail the American spirit. #TokyoOlympics2020 #mkaylaskinner #vault,"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})"
950,1421984473156001792,2021-08-02 00:01:32+00:00,"There isn’t a rivalry like this! I was cruising downtown Escondido, bumping Ramon Ayala, with my #USMNT  Jersey on!… https://t.co/ifgcohgrIE","Escondido, CA","[[[-117.146102, 33.0577819], [-116.998535, 33.0577819], [-116.998535, 33.182936], [-117.146102, 33.182936]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='00610f4d3a382ec1', url='https://api.twitter.com/1.1/geo/id/00610f4d3a382ec1.json', place_type='city', name='Escondido', full_name='Escondido, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-117.146102, 33.0577819], [-116.998535, 33.0577819], [-116.998535, 33.182936], [-117.146102, 33.182936]]]), attributes={})"
5750,1421984600046379010,2021-08-02 00:02:02+00:00,What a storyline for Skinner tonight!! ❤️ #Olympics,"Euclid, OH","[[[-81.552943, 41.5453355], [-81.488014, 41.5453355], [-81.488014, 41.631584], [-81.552943, 41.631584]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='59ed3d5f720ebdf0', url='https://api.twitter.com/1.1/geo/id/59ed3d5f720ebdf0.json', place_type='city', name='Euclid', full_name='Euclid, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-81.552943, 41.5453355], [-81.488014, 41.5453355], [-81.488014, 41.631584], [-81.552943, 41.631584]]]), attributes={})"
2343,1421984610607579136,2021-08-02 00:02:05+00:00,"The 22-year-old Team USA weightlifter trained in basements, garages, scorching hot gyms, and even a barn.
#Olympics https://t.co/NIPab4nHkf","Atlanta, GA","[[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='8173485c72e78ca5', url='https://api.twitter.com/1.1/geo/id/8173485c72e78ca5.json', place_type='city', name='Atlanta', full_name='Atlanta, GA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]]), attributes={})"
1888,1421984646674452483,2021-08-02 00:02:13+00:00,🥇🥇THIS. IS. AH - MAZE - ING 🥇🥇 https://t.co/FWdlEkGy6G,"Iowa, USA","[[[-96.6396669, 40.375437], [-90.140061, 40.375437], [-90.140061, 43.50102], [-96.6396669, 43.50102]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3cd4c18d3615bbc9', url='https://api.twitter.com/1.1/geo/id/3cd4c18d3615bbc9.json', place_type='admin', name='Iowa', full_name='Iowa, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-96.6396669, 40.375437], [-90.140061, 40.375437], [-90.140061, 43.50102], [-96.6396669, 43.50102]]]), attributes={})"
951,1421984656312999937,2021-08-02 00:02:15+00:00,Tonight! https://t.co/6106xESELW,"New York, USA","[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='94965b2c45386f87', url='https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json', place_type='admin', name='New York', full_name='New York, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]), attributes={})"
7134,1421984814186516494,2021-08-02 00:02:53+00:00,"Love these moments. 
#OlympicGames giving me the feels I need in the middle of the #COVID19 pandemic https://t.co/kRoP8LVq1Y","San Antonio, TX","[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3df4f427b5a60fea', url='https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json', place_type='city', name='San Antonio', full_name='San Antonio, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]), attributes={})"
2357,1421984853432541186,2021-08-02 00:03:02+00:00,"@MaryLouBolger https://t.co/Qv2owpSHb2

It was very close....","Sandy, UT","[[[-111.9216582, 40.528084], [-111.800273, 40.528084], [-111.800273, 40.6168271], [-111.9216582, 40.6168271]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='fb9549afa6f81fa6', url='https://api.twitter.com/1.1/geo/id/fb9549afa6f81fa6.json', place_type='city', name='Sandy', full_name='Sandy, UT', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-111.9216582, 40.528084], [-111.800273, 40.528084], [-111.800273, 40.6168271], [-111.9216582, 40.6168271]]]), attributes={})"
